gt_x,gt_y,pred_x,pred_y
0.6097272,0.24633743,0.48714945,0.5017966
0.6097272,0.24633743,0.4880279,0.5028681
0.6097272,0.24633743,0.48852667,0.4954731
0.6097272,0.24633743,0.49050015,0.4947419
0.11363398,0.1627989,0.48555577,0.49288547
0.11363398,0.1627989,0.4875138,0.4978289
0.11363398,0.1627989,0.48825917,0.50204825
0.11363398,0.1627989,0.4891279,0.49952945
0.11363398,0.1627989,0.48813456,0.49951875
0.38950256,0.6165508,0.48893166,0.5000861
0.38950256,0.6165508,0.49382445,0.5005191
0.38950256,0.6165508,0.49334502,0.50116986
0.38950256,0.6165508,0.4940128,0.49807897
0.76944375,0.05680555,0.49215612,0.49540988
0.76944375,0.05680555,0.4911451,0.5030127
0.76944375,0.05680555,0.49017718,0.4984347
0.76944375,0.05680555,0.49413782,0.50327265
0.5,0.9609375,0.49012747,0.5019841
0.5,0.9609375,0.4938754,0.49736205
0.5,0.9609375,0.4927411,0.49259853
0.5,0.9609375,0.49569273,0.4966151
0.5,0.9609375,0.49395066,0.499228
0.5,0.5,0.4912334,0.50073665
0.5,0.5,0.4901254,0.5039376
0.5,0.5,0.4936612,0.496188
0.5,0.5,0.49151593,0.49754655
0.40028843,0.62435347,0.4958213,0.50156546
0.40028843,0.62435347,0.4957657,0.502132
0.40028843,0.62435347,0.49194115,0.5014531
0.40028843,0.62435347,0.49615964,0.50081265
0.94392186,0.51954347,0.4922074,0.49350825
0.94392186,0.51954347,0.49016836,0.501001
0.94392186,0.51954347,0.49090475,0.4982315
0.94392186,0.51954347,0.49709758,0.50272685
0.082764745,0.5623814,0.49270487,0.4984092
0.082764745,0.5623814,0.487295,0.49526393
0.082764745,0.5623814,0.49001318,0.49499506
0.082764745,0.5623814,0.48814183,0.4944807
0.7239583,0.26953125,0.49195397,0.501425
0.7239583,0.26953125,0.49229878,0.49938208
0.7239583,0.26953125,0.49350804,0.5008114
0.7239583,0.26953125,0.4913586,0.4961313
0.11687106,0.35901007,0.48777375,0.50240505
0.11687106,0.35901007,0.4907432,0.4968473
0.11687106,0.35901007,0.488709,0.4991541
0.11687106,0.35901007,0.4900978,0.49532172
0.11687106,0.35901007,0.48907486,0.49524078
0.54130733,0.7459181,0.4866313,0.49921563
0.54130733,0.7459181,0.49289513,0.49978492
0.54130733,0.7459181,0.49203694,0.4950874
0.54130733,0.7459181,0.48895502,0.4991901
0.7239583,0.73046875,0.4953691,0.4974751
0.7239583,0.73046875,0.49529293,0.5052934
0.7239583,0.73046875,0.50003594,0.49897102
0.7239583,0.73046875,0.49528423,0.49954456
0.052083332,0.0390625,0.49436483,0.5013921
0.052083332,0.0390625,0.504417,0.50580925
0.052083332,0.0390625,0.50171506,0.5069202
0.052083332,0.0390625,0.49675703,0.5026364
0.44418633,0.73440146,0.49883276,0.50432855
0.44418633,0.73440146,0.49779415,0.50349647
0.44418633,0.73440146,0.49774903,0.49880672
0.44418633,0.73440146,0.49024123,0.5037319
0.44418633,0.73440146,0.49219447,0.5067617
0.2933185,0.2640059,0.48953882,0.504188
