image_name,x,y,subject_ID
dataset/images/00574/00574/frames/01940.jpg,352.548756719,137.729250789,574
dataset/images/00488/00488/frames/00502.jpg,215.897142172,178.095401049,488
dataset/images/00249/00249/frames/01448.jpg,40.0,280.0,249
dataset/images/00669/00669/frames/00304.jpg,48.5867354274,501.921757698,669
dataset/images/00575/00575/frames/00136.jpg,280.0,40.0,575
dataset/images/00251/00251/frames/02492.jpg,276.0,212.0,251
dataset/images/00487/00487/frames/00960.jpg,496.2411,193.5755,487
dataset/images/00135/00135/frames/01721.jpg,964.61699295,544.805596352,135
dataset/images/00668/00668/frames/01276.jpg,520.887630463,277.978630066,668
dataset/images/00121/00121/frames/00016.jpg,40.0,333.5,121
dataset/images/00569/00569/frames/01835.jpg,165.955074593,211.558252871,569
dataset/images/00610/00610/frames/01103.jpg,406.0,220.0,610
dataset/images/00572/00572/frames/00475.jpg,406.0,100.0,572
dataset/images/00222/00222/frames/00153.jpg,113.75,480.25,222
dataset/images/00650/00650/frames/02499.jpg,79.5720096231,159.083629698,650
dataset/images/00534/00534/frames/01301.jpg,444.754296303,49.0877290778,534
dataset/images/00358/00358/frames/03201.jpg,40.0,728.0,358
dataset/images/00239/00239/frames/02114.jpg,201.380061507,235.381222665,239
dataset/images/00198/00198/frames/00691.jpg,670.1262,309.6533,198
dataset/images/00605/00605/frames/00222.jpg,142.674725056,383.184163094,605
dataset/images/00466/00466/frames/00088.jpg,280.0,284.0,466
dataset/images/00178/00178/frames/00154.jpg,100.0,162.0,178
dataset/images/00477/00477/frames/02054.jpg,369.292616367,149.802069664,477
dataset/images/00268/00268/frames/00956.jpg,627.0,335.0,268
dataset/images/00600/00600/frames/01989.jpg,406.0,100.0,600
dataset/images/00382/00382/frames/01411.jpg,387.809309125,178.593785614,382
dataset/images/00531/00531/frames/00931.jpg,477.9012,278.9911,531
dataset/images/00202/00202/frames/00735.jpg,186.75,113.75,202
dataset/images/00547/00547/frames/01339.jpg,370.673624039,50.8405850008,547
dataset/images/00668/00668/frames/01819.jpg,195.650972843,198.079543114,668
dataset/images/00641/00641/frames/00845.jpg,53.0627074838,352.819766998,641
dataset/images/00613/00613/frames/00102.jpg,984.0,384.0,613
dataset/images/00309/00309/frames/02149.jpg,238.496076584,262.306704521,309
dataset/images/00356/00356/frames/00684.jpg,195.333476067,60.9400028884,356
dataset/images/00641/00641/frames/01620.jpg,462.248773098,233.205738068,641
dataset/images/00139/00139/frames/00710.jpg,311.318020344,136.967077255,139
dataset/images/00480/00480/frames/02752.jpg,581.768553317,88.9659187943,480
dataset/images/00488/00488/frames/01988.jpg,330.727151871,77.8325506598,488
dataset/images/00273/00273/frames/01121.jpg,284.0,280.0,273
dataset/images/00463/00463/frames/01256.jpg,631.9365,60.98039,463
dataset/images/00472/00472/frames/01385.jpg,221.66387105,171.370592117,472
dataset/images/00525/00525/frames/00566.jpg,528.0,280.0,525
dataset/images/00597/00597/frames/00454.jpg,677.162481308,562.301493645,597
dataset/images/00493/00493/frames/01525.jpg,475.065139174,148.154888153,493
dataset/images/00661/00661/frames/00391.jpg,496.639,249.6794,661
dataset/images/00358/00358/frames/00192.jpg,384.0,512.0,358
dataset/images/00602/00602/frames/00700.jpg,212.617630959,234.621024847,602
dataset/images/00574/00574/frames/00628.jpg,183.437388688,512.735030174,574
dataset/images/00190/00190/frames/00493.jpg,214.6868,110.9311,190
dataset/images/00507/00507/frames/01620.jpg,238.588442564,91.9118630886,507
dataset/images/00241/00241/frames/00240.jpg,461.7898,262.1016,241
dataset/images/00249/00249/frames/00446.jpg,175.4788,122.7379,249
dataset/images/00548/00548/frames/01272.jpg,284.0,40.0,548
