segment_id,frame,x,y,phase
0,0,108.000000,9.000000,wait
0,1,108.000000,9.000000,wait
0,2,108.000000,9.000000,wait
0,3,108.000000,9.000000,wait
0,4,108.000000,9.000000,wait
0,5,108.000000,9.000000,wait
0,6,108.000000,9.000000,wait
0,7,113.624296,8.000000,move
0,8,119.248593,16.268452,move
0,9,124.872889,24.536903,move
0,10,130.497185,32.805355,move
0,11,136.121481,41.073806,move
0,12,141.745778,49.342258,move
0,13,147.370074,57.610710,move
0,14,152.994370,65.879161,move
0,15,158.618666,74.147613,move
0,16,164.242963,82.416064,move
0,17,169.867259,90.684516,move
0,18,175.491555,98.952967,move
0,19,181.115851,107.221419,move
0,20,186.740148,115.489871,move
0,21,192.364444,123.758322,move
0,22,197.988740,132.026774,move
0,23,203.613036,140.295225,move
0,24,209.237333,148.563677,move
0,25,214.861629,156.832129,move
0,26,220.485925,165.100580,move
0,27,226.110221,173.369032,move
0,28,231.734518,181.637483,move
0,29,237.358814,189.905935,move
0,30,242.983110,198.174386,move
0,31,248.607406,206.442838,move
0,32,254.231703,214.711290,move
0,33,259.855999,222.979741,move
0,34,265.480295,231.248193,move
0,35,271.104591,239.516644,move
0,36,276.728888,247.785096,move
0,37,282.353184,256.053548,move
0,38,287.977480,264.321999,move
0,39,293.601777,272.590451,move
0,40,299.226073,280.858902,move
0,41,304.850369,289.127354,move
0,42,310.474665,297.395805,move
0,43,316.098962,305.664257,move
0,44,321.723258,313.932709,move
0,45,327.347554,322.201160,move
0,46,332.971850,330.469612,move
0,47,338.596147,338.738063,move
0,48,344.220443,347.006515,move
0,49,349.844739,355.274967,move
0,50,355.469035,363.543418,move
0,51,361.093332,371.811870,move
0,52,366.717628,380.080321,move
0,53,372.341924,388.348773,move
0,54,377.966220,396.617224,move
0,55,383.590517,404.885676,move
0,56,389.214813,413.154128,move
0,57,394.839109,421.422579,move
0,58,400.463405,429.691031,move
0,59,406.087702,437.959482,move
0,60,411.711998,446.227934,move
1,61,172.000000,114.000000,wait
1,62,172.000000,114.000000,wait
1,63,172.000000,114.000000,wait
1,64,172.000000,114.000000,wait
1,65,172.000000,114.000000,wait
1,66,172.000000,114.000000,wait
1,67,172.000000,114.000000,wait
1,68,181.886792,112.499554,move
1,69,191.773584,110.999107,move
1,70,201.660377,109.498661,move
1,71,211.547169,107.998214,move
1,72,221.433961,106.497768,move
1,73,231.320753,104.997321,move
1,74,241.207546,103.496875,move
1,75,251.094338,101.996428,move
1,76,260.981130,100.495982,move
1,77,270.867922,98.995535,move
1,78,280.754714,97.495089,move
1,79,290.641507,95.994642,move
1,80,300.528299,94.494196,move
1,81,310.415091,92.993749,move
1,82,320.301883,91.493303,move
1,83,330.188676,89.992857,move
1,84,340.075468,88.492410,move
1,85,349.962260,86.991964,move
1,86,359.849052,85.491517,move
1,87,369.735844,83.991071,move
1,88,379.622637,82.490624,move
1,89,389.509429,80.990178,move
1,90,399.396221,79.489731,move
1,91,409.283013,77.989285,move
1,92,419.169805,76.488838,move
1,93,429.056598,74.988392,move
1,94,438.943390,73.487945,move
1,95,448.830182,71.987499,move
1,96,458.716974,70.487052,move
1,97,468.603767,68.986606,move
1,98,478.490559,67.486160,move
1,99,488.377351,65.985713,move
1,100,498.264143,64.485267,move
1,101,508.150935,62.984820,move
1,102,518.037728,61.484374,move
1,103,527.924520,59.983927,move
1,104,537.811312,58.483481,move
1,105,547.698104,56.983034,move
1,106,557.584897,55.482588,move
1,107,567.471689,53.982141,move
1,108,577.358481,52.481695,move
1,109,587.245273,50.981248,move
1,110,597.132065,49.480802,move
1,111,607.018858,47.980355,move
1,112,616.905650,46.479909,move
1,113,626.792442,44.979463,move
1,114,636.679234,43.479016,move
1,115,646.566027,41.978570,move
1,116,656.452819,40.478123,move
1,117,666.339611,38.977677,move
1,118,676.226403,37.477230,move
1,119,686.113195,35.976784,move
1,120,695.999988,34.476337,move
1,121,705.886780,32.975891,move
2,122,179.000000,52.000000,wait
2,123,179.000000,52.000000,wait
2,124,179.000000,52.000000,wait
2,125,179.000000,52.000000,wait
2,126,179.000000,52.000000,wait
2,127,179.000000,52.000000,wait
2,128,179.000000,52.000000,wait
2,129,188.535263,55.013097,move
2,130,198.070527,58.026194,move
2,131,207.605790,61.039290,move
2,132,217.141053,64.052387,move
2,133,226.676317,67.065484,move
2,134,236.211580,70.078581,move
2,135,245.746844,73.091678,move
2,136,255.282107,76.104775,move
2,137,264.817370,79.117871,move
2,138,274.352634,82.130968,move
2,139,283.887897,85.144065,move
2,140,293.423160,88.157162,move
2,141,302.958424,91.170259,move
2,142,312.493687,94.183356,move
