frame, x, y
0,  1165.20,  83.93
1,  1174.39,  87.85
2,  1183.59,  91.78
3,  1192.79,  95.71
4,  1201.98,  99.64
5,  1211.18,  103.56
6,  1220.38,  107.49
7,  1229.57,  111.42
8,  1238.77,  115.35
9,  1247.97,  119.27
10,  1257.16,  123.20
11,  1266.36,  127.13
12,  1275.55,  131.06
13,  1284.75,  134.98
14,  1293.95,  138.91
15,  1303.14,  142.84
16,  1312.34,  146.76
17,  1321.54,  150.69
18,  1330.73,  154.62
19,  1339.93,  158.55
20,  1349.13,  162.47
21,  1358.32,  166.40
22,  1367.52,  170.33
23,  1376.72,  174.26
24,  1385.91,  178.18
25,  1395.11,  182.11
26,  1404.31,  186.04
27,  1413.50,  189.97
28,  1422.70,  193.89
29,  1413.50,  197.82
30,  1404.31,  201.75
31,  1395.11,  205.68
32,  1385.91,  209.60
33,  1376.72,  213.53
34,  1367.52,  217.46
35,  1358.32,  221.38
36,  1349.13,  225.31
37,  1339.93,  229.24
38,  1330.73,  233.17
39,  1321.54,  237.09
40,  1312.34,  241.02
41,  1303.14,  244.95
42,  1293.95,  248.88
43,  1284.75,  252.80
44,  1275.55,  256.73
45,  1266.36,  260.66
46,  1257.16,  264.59
47,  1247.97,  268.51
48,  1238.77,  272.44
49,  1229.57,  276.37
50,  1220.38,  280.29
51,  1211.18,  284.22
52,  1201.98,  288.15
53,  1192.79,  292.08
54,  1183.59,  296.00
55,  1174.39,  299.93
56,  1165.20,  303.86
57,  1156.00,  307.79
58,  1146.80,  311.71
59,  1137.61,  315.64
60,  1128.41,  319.57
61,  1119.21,  323.50
62,  1110.02,  327.42
63,  1100.82,  331.35
64,  1091.62,  335.28
65,  1082.43,  339.20
66,  1073.23,  343.13
67,  1064.03,  347.06
68,  1054.84,  350.99
69,  1045.64,  354.91
70,  1036.45,  358.84
71,  1027.25,  362.77
72,  1018.05,  366.70
73,  1008.86,  370.62
74,  999.66,  374.55
75,  990.46,  378.48
76,  981.27,  382.41
77,  972.07,  386.33
78,  962.87,  390.26
79,  953.68,  394.19
80,  944.48,  398.11
81,  935.28,  402.04
82,  926.09,  405.97
83,  916.89,  409.90
84,  907.69,  413.82
85,  898.50,  417.75
86,  889.30,  421.68
87,  880.10,  425.61
88,  870.91,  429.53
89,  861.71,  433.46
90,  852.51,  437.39
91,  843.32,  441.32
92,  834.12,  445.24
93,  824.93,  449.17
94,  815.73,  453.10
95,  806.53,  457.03
96,  797.34,  460.95
97,  788.14,  464.88
98,  778.94,  468.81
99,  769.75,  472.73
100,  760.55,  476.66
101,  751.35,  480.59
102,  742.16,  484.52
103,  732.96,  488.44
104,  723.76,  492.37
105,  714.57,  496.30
106,  705.37,  500.23
107,  696.17,  504.15
108,  686.98,  508.08
109,  677.78,  512.01
110,  668.58,  515.94
111,  659.39,  519.86
112,  650.19,  523.79
113,  640.99,  527.72
114,  631.80,  531.64
115,  622.60,  535.57
116,  613.41,  539.50
117,  604.21,  543.43
118,  595.01,  547.35
119,  585.82,  551.28
120,  576.62,  555.21
121,  567.42,  559.14
122,  558.23,  563.06
123,  549.03,  566.99
124,  539.83,  570.92
125,  530.64,  574.85
126,  521.44,  578.77
127,  512.24,  582.70
128,  503.05,  586.63
129,  493.85,  590.55
130,  484.65,  594.48
131,  475.46,  598.41
132,  466.26,  602.34
133,  457.06,  606.26
134,  447.87,  610.19
135,  438.67,  614.12
136,  429.48,  618.05
137,  420.28,  621.97
138,  411.08,  625.90
139,  401.89,  629.83
140,  392.69,  633.76
141,  383.49,  637.68
142,  374.30,  641.61
143,  365.10,  645.54
144,  355.90,  649.47
145,  346.71,  653.39
146,  337.51,  657.32
147,  328.31,  661.25
148,  319.12,  665.17
149,  309.92,  669.10
150,  300.72,  673.03
151,  291.53,  676.96
152,  282.33,  680.88
153,  273.13,  684.81
154,  263.94,  688.74
155,  254.74,  692.67
156,  245.54,  696.59
157,  236.35,  700.52
158,  227.15,  704.45
159,  217.96,  708.38
160,  208.76,  712.30
161,  199.56,  716.23
162,  190.37,  720.16
163,  181.17,  724.08
164,  171.97,  728.01
165,  162.78,  731.94
166,  153.58,  735.87
167,  144.38,  739.79
168,  135.19,  743.72
169,  125.99,  747.65
170,  116.79,  751.58
171,  107.60,  755.50
172,  98.40,  759.43
173,  89.20,  763.36
174,  80.01,  767.29
175,  70.81,  771.21
176,  61.61,  775.14
177,  52.42,  779.07
178,  43.22,  782.99
179,  34.02,  786.92
180,  24.83,  790.85
181,  15.63,  794.78
182,  6.44,  798.70
183,  15.63,  802.63
184,  24.83,  806.56
185,  34.02,  810.49
186,  43.22,  814.41
187,  52.42,  818.34
188,  61.61,  822.27
189,  70.81,  826.20
190,  80.01,  830.12
191,  89.20,  834.05
192,  98.40,  837.98
193,  107.60,  841.90
194,  116.79,  845.83
195,  125.99,  849.76
196,  135.19,  853.69
197,  144.38,  857.61
198,  153.58,  861.54
199,  162.78,  865.47
200,  171.97,  869.40
201,  181.17,  873.32
202,  190.37,  869.40
203,  199.56,  865.47
204,  208.76,  861.54
205,  217.96,  857.61
206,  227.15,  853.69
207,  236.35,  849.76
208,  245.54,  845.83
209,  254.74,  841.90
210,  263.94,  837.98
211,  273.13,  834.05
212,  282.33,  830.12
213,  291.53,  826.20
214,  300.72,  822.27
215,  309.92,  818.34
216,  319.12,  814.41
217,  328.31,  810.49
218,  337.51,  806.56
219,  346.71,  802.63
220,  355.90,  798.70
221,  365.10,  794.78
222,  374.30,  790.85
223,  383.49,  786.92
224,  392.69,  782.99
225,  401.89,  779.07
226,  411.08,  775.14
227,  420.28,  771.21
228,  429.48,  767.29
229,  438.67,  763.36
230,  447.87,  759.43
231,  457.06,  755.50
232,  466.26,  751.58
233,  475.46,  747.65
234,  484.65,  743.72
235,  493.85,  739.79
236,  503.05,  735.87
237,  512.24,  731.94
238,  521.44,  728.01
239,  530.64,  724.08
240,  539.83,  720.16
241,  549.03,  716.23
242,  558.23,  712.30
243,  567.42,  708.38
244,  576.62,  704.45
245,  585.82,  700.52
246,  595.01,  696.59
247,  604.21,  692.67
248,  613.41,  688.74
249,  622.60,  684.81
250,  631.80,  680.88
251,  640.99,  676.96
252,  650.19,  673.03
253,  659.39,  669.10
254,  668.58,  665.17
255,  677.78,  661.25
256,  686.98,  657.32
257,  696.17,  653.39
258,  705.37,  649.47
259,  714.57,  645.54
260,  723.76,  641.61
261,  732.96,  637.68
262,  742.16,  633.76
263,  751.35,  629.83
264,  760.55,  625.90
265,  769.75,  621.97
266,  778.94,  618.05
267,  788.14,  614.12
268,  797.34,  610.19
